index,comments,time
2204,只有一句牛逼可言,28天前发布
2205,看完没啥感觉咋回事[跪了],28天前发布
2206,还好哥们没在抑郁的时期了，要不然看完后精神多少有点更内耗了。,28天前发布
2207,前几天的周公子，今天的二舅，这个落差太大了！我有点接受不了！,28天前发布
2208,通篇告诉我们，就是不要总沉迷于过去的种种，人活着，要向前看，过去好也罢，歹也罢，都是过去了。未来才是属于我们的！,28天前发布
2209,嘿,28天前发布
2210,祝福所有人都能当好“二舅”,28天前发布
2211,二舅的经历教育我们年轻人，要接受苦难，停止抱怨[虎年],28天前发布
2212,看完后点赞，过了几天，居然到处传什么二舅，后面发现才是你火了。真是酒香不怕巷子深。恭喜恭喜。,28天前发布
2213,"一个朋友写的。
“一个视频作者，没有那么多的义务，他的作品也没有必要被从哲学的高度审判。他的文笔、剪辑、以及二舅本身的故事都是非常好的。我们当下正需要这样平凡的故事，因为我们处在一个脱离权威的“唯一解”的时代，我们要体察每一个人的生活，我们一定要看到各种标准答案之外的活生生的人，来更新我们的世界观、人生观、价值观、斗争观。
但是一旦官方为他站台，宣布这是标准答案。
我就不得不考虑他的影响力从别的角度审视他。”",28天前发布
2214,好像小时候的语文阅读,28天前发布
2215,我与我周旋，宁做我,28天前发布
2216,我想了想，回来把赞取消了,28天前发布
2217,我们来当二舅，你们来替我岁月静好吗??,28天前发布
2218,精神胜利法是吧。[辣眼睛],28天前发布
2219,你的评论是不是你们近十年文学水平最高的时候了，呵呵,28天前发布
2220,这乡村医生气死我了[生气][生气][生气],28天前发布
2221,每个人有每个人看完的理解吧，我看完之后就想起我们农村，可能我家比二舅家稍微好一点，但是也好不了太多，所以我觉得这个视频还挺好的，至少告诉了上层的人，真的有人过的这么苦，还有好多人依旧这么苦，只剩一百万的人不是穷人，是富翁。,28天前发布
2222,你有二舅我有大伯,28天前发布
2223,大伯们希望我们乖乖的做二舅，不然他们无法继续喝二十万一斤的茶。,28天前发布
2224,@常系数线性差分方程,28天前发布
2225,看完后潸然泪下，生活的苦难便是生活本身，有的人低下了头，便永远底下去了；而有的人低下了，却还能抬头仰望星空。致敬二舅。,28天前发布
2226,你爷爷一失误，我爷爷就要饭,28天前发布
2227,啥小?,28天前发布
2228,再动人的故事也治不了精神内耗，标题属实不太行,28天前发布
2229,所以说精神内耗到底是怎么被治好的,28天前发布
2230,这是我这些年为数不多不以1.25倍数播放的视频,28天前发布
2231,每天一遍，百看不厌[打call],28天前发布
2232,[奥比岛_击爪],28天前发布
2233,二舅最后在石板路上的回头，他身子是佝偻的，人却是顶天立地的，就这么向上，迎着生命向上走去[大哭],28天前发布
2234,好家伙，打对周杰秒山我评论,28天前发布
2235,[tv_流泪][tv_流泪][tv_流泪][tv_流泪][tv_流泪],28天前发布
2236,他公平！,28天前发布
2237,如果你有觉得让你的二舅接受采访会让你的《二舅》不完美了，那你就真的无可救药，其心可诛！！,28天前发布
2238,向一切平凡但坚韧的灵魂致敬,28天前发布
2239,@baobaohongbaobao,28天前发布
2240,平凡也不平凡，幸运也不幸，悲中找乐，玻璃渣里找糖，这样乐观的二舅值得敬佩,28天前发布
2241,不要去打扰二舅的生活。,28天前发布
2242,从周姐哪儿来的 二舅如果在现在这个社会前途不可限量,28天前发布
2243,苦难依旧深重,28天前发布
2244,@orangeHXT,28天前发布
2245,这能上热搜?真正的苦难上不了公众眼前!,28天前发布
