index,comments,time
40940,慧极必伤[难过],31天前发布
40941,感谢，看完视频的我感受颇深，自己也是生在了充满机遇的年代，虽不愁吃喝不受寒冷，但是仍然被二舅的精神所打动，或许我们都应该向二舅看齐，我们太缺少乐观的人生态度也没有和二舅一样坚韧不拔的韧劲，真的被感染了，有时候我们不应该去责怪命运的不公，因为我们选择不了，尽最大的努力活出自己最好看的模样，加油！,31天前发布
40942,真的很哇塞,31天前发布
40943,就看看IP,31天前发布
40944,谢谢up的分享，在哪领一个二舅[脱单doge],31天前发布
40945,文案牛逼，一种夹杂着旧社会主义氛围并略带戏剧风格的东方古典式伤痛文学。[doge],31天前发布
40946,说来巧合，我有个表舅跟二舅一样的经历，除了是，发高烧被庸医治成脑膜炎，后来的经历很像了。。。,31天前发布
40947,[大笑][大笑][大笑],31天前发布
40948,劳动人民最伟大[爱心],31天前发布
40949,感谢这条推送，让我又看到了应该的人生，三连了,31天前发布
40950,不得圆满，但又是圆满。,31天前发布
40951,二舅笑着把这手烂排打了出去啊,31天前发布
40952,我们现在大概率没有这样的生活了。教?钰带给我了一些东西，也带走了另一些东西。,31天前发布
40953,好想，有ip啦,31天前发布
40954,nb,31天前发布
40955,[脱单doge],31天前发布
40956,"我看见了一个普普通通，平平凡凡的人。
我所遗憾是他生不逢时，我所未见的是那样的生活，或许他成为了第二快乐的人，但那样的境界也是我达不到的。",31天前发布
40957,"事非经过不知难
车到山前必有路，船到桥头自然直",31天前发布
40958,我的超人二舅,31天前发布
40959,我的超人二舅,31天前发布
40960,我们缺少此类深度的视频,31天前发布
40961,[热词系列_爱了爱了][热词系列_三连],31天前发布
40962,空巢老人的悲哀,31天前发布
40963,自由主义最大的毒药，就是渴求迅速的无止境的满足自己的欲望。当信奉自由主义而发现自己的欲望没法立刻满足的时候，就会消沉死心。,31天前发布
40964,超 人 二 舅,31天前发布
40965,牛的,31天前发布
40966,二舅，永远滴神,31天前发布
40967,谁说对弈平凡的不算英雄,31天前发布
40968,致敬二舅,31天前发布
40969,天妒英才啊真的，如果不是身体上的问题，他的一生也许就不是这么梦幻，但也更加深刻,31天前发布
40970,感谢二舅给我的精神救赎,31天前发布
40971,他公平,31天前发布
40972,救命，看哭了，我家乡也有许多这样生活起起落落但是永不言弃努力生活的长辈，哪怕那只是个小小的县城，会被嘲笑土、穷、没文化、污染重、思想老套的地方。但是许多人真的是一点一点的做好自己的事、尽力照顾家人、互相安慰、在变故来到的时候一边崩溃一边想办法……年轻的时候考出去曾经懊悔自己为什么成长在小地方，而不是像大城市人一样从小见世面、资源多。但是现在人到三十、做了妻子、母亲，工作起起落落，才发现生活远没有网上写的那么精彩励志，更多时候是默默地扛或者跟家人一起扛；觉得忙累穷抱怨一下，转头就为家人平安而庆幸；因为时间精力不足胖了丑了自卑了，看看自己满地玩具的小家又觉得为体重想太多没意义……也许大多数人的生活就是这样穿插着各种考验的平淡，但表面不出成绩的日子并不代表我们的努力没有意义。,31天前发布
40973,他不是他 他就是村子里的那个他,31天前发布
40974,三连给二舅[OK],31天前发布
40975,@十七家的英熙 快来看[大哭]哭死我了,31天前发布
