index,comments,time
9955,有被震撼到,29天前发布
9956,平凡而又伟大,29天前发布
9957,平凡中活出的伟大,29天前发布
9958,他公平！,29天前发布
9959,生在一个过于浮躁的年代，有时常常扪心自问所谓的胜利是什么？或许对于现代的很多人来说，胜利就是所谓的比谁拥有的钱多，或许这样看来二舅并不是一个胜利的人。看了这11分钟的短片，看到姥姥和二舅的时候，眼泪不自觉的流下来了。是因为想到那则将自己的母亲关在猪圈里的新闻，何其可悲！因此我作为一个00后，非常真心地佩服新中国成立，爷爷奶奶那一辈的人。他们的真心，真诚，他们的努力很多就是不求回报的，因为在他们看来，自己看似不起眼的付出真的可以为新中国的未来有所奉献！最后，致敬二舅！人生如戏，每个人都是平凡而伟大的。,29天前发布
9960,快乐也是一天，不快乐也是一天＠_＠,29天前发布
9961,我爸他初二辍学养家，家里穷，供不起他上学，才十多岁就扛起家里的顶梁柱，一直扛到现在还没放下……,29天前发布
9962,我爷爷像极了这位“二舅”，也是这样聪明一个人，也是木匠，可惜生不逢时，我没有见过他，因为他在我出生的前一个月去世了。,29天前发布
9963,平凡、伟大,29天前发布
9964,文案真的那么好？ 无非炒作罢了，起码感动不了我,29天前发布
9965,求一个文字版，谁有,29天前发布
9966,"6688，简直酷得要死！
太喜欢up的文案了。。。",29天前发布
9967,好像穷了一辈子都会觉得不公平，要是我富一辈子，那就是公平吧_(:з」∠)_,29天前发布
9968,二舅真是平凡又伟大的人[支持],29天前发布
9969,洗白的视频，给谁洗的呢？答案自在人心。坏的说成好的，差的说成优的，还不知错，还到处洗，倒行逆施。得道多助，失道寡助。天必亡之。,29天前发布
9970,致敬二舅，致敬所有平凡且伟大的，在生活的泥沼中沉浮却不沉沦的普通人。,29天前发布
9971,我仿佛看到了未来的学生为了阅读理解而挠头的样子。,29天前发布
9972,8.8万人同时观看！[热][热],29天前发布
9973,多么幸运，我们认识二舅了，二舅已经名扬天下了！,29天前发布
9974,仁者见仁，智者见智。我看到的是与命运搏斗的勇士，而不是苦难。作者真正想传达的是对苦难的歌颂？？？,29天前发布
9975,敬二舅,29天前发布
9976,这样的人 最可贵的是他的内核 不拘泥于肉体凡胎  是在用灵魂指引他的人生 不管处在何种境遇里 他都会过得很好 最后二舅的本子那里 看到了很多那个年代纯质又热烈的人 就像那个年代的精神又回来了 多少给现生注入了不少活力 两个时代重逢了,29天前发布
9977,感谢祖国的强大和互联网，才能让我们看到这么有故事的一个人！,29天前发布
9978,谢谢，只想说谢谢你,29天前发布
9979,最后这一回头，让我想起了宰相刘罗锅,29天前发布
9980,敬二舅,29天前发布
9981,这是人间的事，这是属于二舅的精彩人生。,29天前发布
9982,@Ciel123000,29天前发布
9983,敬二舅,29天前发布
9984,二舅值得钦佩，但我希望在坐的各位包括我，永远不要成为二舅。我如果有一天我的生活状态真的落到二舅这个状况，我会找一根绳子[微笑],29天前发布
9985,当代鲁迅,29天前发布
9986,谢谢二舅,29天前发布
9987,真是在众多视频中让人感觉眼前一亮。,29天前发布
9988,文稿很棒，纵使短视频当道，也不可忽略文字给人心灵带来的震撼和感触。第一次看到文字性这么好的视频作品，好的作品应该是能给人带来思考的，同时又反应了时代特点和人物性格。加之人与人之间的联系，亲情、爱情。简单的文字却几度让人落泪，看的时候就频频想到余华老师的《活着》，苦难中的平凡尤为不易。,29天前发布
9989,生逢当世，不失为一种幸运。,29天前发布
9990,看着别人的人生，却不知道自己该如何过好一生,29天前发布
9991,平凡的，出众的,29天前发布
9992,“你看，二舅总有办法”,29天前发布
9993,医疗水平决定人的命运啊,29天前发布
9994,不能用什么轰轰烈烈去描述，却独有属于二舅的生活真谛，其实生活本该如此，没有那么多如果，只有随遇而安。,29天前发布
9995,"很幸运刷了这样一个视频，他在我迷茫的时候拉了我一把。这一年真的好难，难的我曾经想寻求解脱。我不知道是不是所有人把编制看的都那么重要，但是于我而言好像似的，有的时候我在想我考编制是为了我自己还是为了我的父母。
其实我知道，每个工作都很辛苦，从来没有轻松的事情，。但是你的负情绪他总会到达一个顶峰，他会让你崩溃，会让你失去所有欲望，而你在挣扎，挣扎。",29天前发布
9996,"光谈二舅苦难下的乐观，为什么不深究苦难的源头？
“歌颂苦难和苦难下人的坚强，是没有意义的，有时候甚至是滑稽的”",29天前发布
9997,我太喜欢你的叙述了，关注了,29天前发布
9998,这视频太厉害了，只能说UP主的文案绝顶,29天前发布
9999,这视频太厉害了，只能说UP主的文案绝顶,29天前发布
10000,真正的勇士向来默默无闻，喧哗不止的永远是自视高贵的一群。,29天前发布
10001,敬二舅,29天前发布
10002,BV1Ca411K7Gh作者在无意识中表达的东西往往是可怕的,29天前发布
10003,所以为啥你还会精神内耗[微笑],29天前发布
10004,我只能说我身边也有这样的人而且比这个二舅更加有能力,29天前发布
10005,二舅之所以能成为二舅，因为第一他智商高，第二他侄子智商高。二舅的经历让我更信的是基因决定论。,29天前发布
10006,好厉害,29天前发布
10007,纪录片：记录和映照了每个二舅的平凡而不凡的生活。,29天前发布
10008,祝福二舅一直开开心心[拥抱][拥抱][拥抱],29天前发布
10009,好,29天前发布
10010,二舅当年如果没有发烧该有多好,29天前发布
10011,文案写的是真的好啊！有读朱自清的感觉。二舅是一个平凡而伟大的人，敬二舅。确实，第二快乐的人是从不往回头看的人,29天前发布
10012,给二舅一点流量变现加点养老钱有啥不好啊,29天前发布
10013,已泪崩,29天前发布
10014,为文案和其中一些精妙的编排3连了，但是鸡汤还是鸡汤，虽然看起来是避免歌颂苦难，但实质不变。,29天前发布
10015,我父亲当年也很像，他高中升学考上了县一中可是被他当时班主任找人顶替了名额，后来十七岁郁郁不得志，最后没办法，爷爷家里不富裕，没法支持他复读，后来也是去学的木匠，手艺在我们家那块也是很好的，可惜世事无常，去年出了车祸，甚至没等到我娶妻生子，我对此耿耿于怀了很久，看到视频里的那句人生最大的遗憾就是一直在遗憾过去的遗憾，我觉得有所释怀，人生还得继续向前看…,29天前发布
10016,泪目了,29天前发布
10017,文案真的的不错,29天前发布
10018,谢谢二舅，也谢谢up主，让我彻底打开了多年的心结，也向那些经历苦难但是依旧活的精彩的朴实的人们致敬,29天前发布
10019,平凡却伟大,29天前发布
10020,每看一遍都有不同的感想，二舅，愿您天天开心,29天前发布
10021,苦是真的苦，认命是真的认命，把视频拍的这么美好，意义何在,29天前发布
10022,人生最大的遗憾莫过于一直遗憾过去的遗憾,29天前发布
10023,生活的真相往往是令人无奈的，这些无奈会造成让人感到遗憾抑或后悔的结果，但二舅能在明白了这种的情况下依旧保持着对生活的热爱，那就是真的像个英雄一样厉害啊！,29天前发布
10024,成人版的山里小孩连饭都吃不饱，你还有什么好抱怨的,29天前发布
10025,我理应…？,29天前发布
10026,我要这币有何用？,29天前发布
10027,我身无拘,29天前发布
10028,[热词系列_三连],29天前发布
10029,二舅这种奇才，现在已经名扬天下了,29天前发布
10030,二舅从未反抗,29天前发布
10031,二舅活得就是本分，up之所以有敬意，就是发现了这社会丢掉的东西～本分。,29天前发布
10032,“谁说对弈平凡的不算英雄”，我觉得二舅就是对弈平凡的英雄~！,29天前发布
10033,[点赞][点赞],29天前发布
10034,说不出什么牛的话 看完很震撼 很牛,29天前发布
10035,不应该因为社会问题而忽视了可贵的品质，也不应该赞扬品质而回避社会问题。,29天前发布
10036,但是我们都更向往也更需要世俗的胜利与成功,29天前发布
10037,你是一个,29天前发布
10038,其实就在看到视频前，我也深处精神内耗之中，而看后当晚便有了动力，只想留言表示感谢，祝一切都好,29天前发布
10039,谁说站在光里的才算英雄？,29天前发布
10040,口音，房子感觉就在河北石家庄附近,29天前发布
10041,也治好了我的精神内耗，可以拍成电影,29天前发布
10042,"下定决心,不怕牺牲,排除万难,去争取胜利。",29天前发布
10043,虽然鸡汤很好喝，但我还是想问问鸡肉哪去了？,29天前发布
10044,我说这口音格外熟悉 原来是我高中听网课的历史老师！真的好爱你！,29天前发布
10045,文字给人带来的震撼真的很大,29天前发布
10046,"敬二舅，平凡的人生，不平凡的伟大！
UP主的文案真的可以算一篇优秀的现代散文，第一次在B站投币[喜极而泣]",29天前发布
10047,平凡而又伟大,29天前发布
10048,高高在上那味儿冲得,29天前发布
10049,"也许生活中每个人都认识个二舅类的人物：命途多舛，却从不自怨自艾；接受了自己的遗憾与不幸，却又在苦难的生活中挣扎着、努力着、奋力跳出人生的井。
生活报我以伤痛，我报之以歌。",29天前发布
10050,河北儿女自古思考问题深邃至理默默无闻,29天前发布
10051,二舅的字写的真好，字如其人,29天前发布
10052,"‘’纵使疾风起,人生不言弃,往事不回头,余生不将就‘’[锦鲤]",29天前发布
10053,能理解为啥媒体都在说这个视频，这么好的视频不让所有人看看可惜了，看完了想想比我可怜的人这么多我996007又算什么呢，埋着头继续干别抱怨咯，当然要好好宣传，视频不是规训视频，效果堪比规训,29天前发布
10054,路转粉,29天前发布
10055,呜呜呜看哭了,29天前发布
10056,向下扎根，向上绽放,29天前发布
10057,"刚开始觉得是一个平平无奇的片子
而且尊唐（从这里认识）的声音真的很像电影解说（之前刷电影简要记录的声音）
秉着“看看吧！”的念头
二舅为什么能登上热搜?
于是我看一下去
二舅，他值得！！！[星星眼]",29天前发布
10058,敬二舅,29天前发布
10059,厉害,29天前发布
10060,@沈梓安吖 你看，大气牛掰！,29天前发布
10061,说的真好……老病就是生死之间的试炼……不然从生到死该有多留恋多不舍……,29天前发布
10062,建议申请语文教材课文,29天前发布
10063,“第二快乐的人不会回头看”。所以不要再被后悔和无意义的“假如”绑架了。,29天前发布
10064,最好的教育不是言传而是身教，小孩并不瞎。,29天前发布
10065,这应该就是《平凡的世界》的精髓吧,29天前发布
10066,我说在我的想象中，有一双滑板鞋~,29天前发布
10067,天才二舅,29天前发布
10068,二舅的人生很精彩，up主的文案也很精彩。,29天前发布
10069,作文素材 +1,29天前发布
10070,老舍当年写下《骆驼祥子》是希望以后世上再无骆驼祥子，而不是希望人人变成骆驼祥子。,29天前发布
10071,看不到正能量，只看到各种悲凉；希望看到正能量的你，你的未来也能这么正能量；希望看到悲凉的你，远离视频的出现的各种悲凉,29天前发布
10072,"他以为只能顾好自己，最终却顾好了宁宁，顾好了八旬的母亲，顾好了一个村庄，甚至顾了来自五湖四海的、“精神内耗”的你我。  看具体的风景，做具体的事，爱具体的人。
转自微博",29天前发布
10073,衣戈彻底的火了！,29天前发布
10074,[大哭][打call],29天前发布
10075,他真的活出了自己的人生！,29天前发布
